Nr.,Titlu Produs,Brand,Material,Preț Oficial (LEI),Cale Imagine Locală,URL Master Slab,URL Produs top-blat.ro
1,Absolute Black – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/absolute-black-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/ABSOLUTE-BLACK-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/absolute-black-ceramica-atlas-plan/
2,Absolute White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/absolute-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/ABSOLUTE-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/absolute-white-ceramica-atlas-plan/
3,Alba Via – Quartz Coante,Coante,Cuarț Compozit,"2.235,789 lei/mp",culori_quartz/images/alba-via-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Alba-Via-quartz-compozit.avif,https://top-blat.ro/produs/alba-via-quartz-coante/
4,Alpin – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/alpin-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ALPIN-CIMSTONE.avif,https://top-blat.ro/produs/alpin-quartz-cimstone/
5,Alpina White – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/alpina-white-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ALPINA-WHITE-2-SILESTONE.avif,https://top-blat.ro/produs/alpina-white-quartz-silestone/
6,Alpinus – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/alpinus-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/ALPINUS-2-ATLAS-PLAN-1.webp,https://top-blat.ro/produs/alpinus-ceramica-atlas-plan/
7,Altamonte – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/altamonte-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ALTAMONTE-3-TECHNISTONE.avif,https://top-blat.ro/produs/altamonte-quartz-technistone/
8,Amanos – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/amanos-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/AMANOS-CIMSTONE.avif,https://top-blat.ro/produs/amanos-quartz-cimstone/
9,Appennino – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/appennino-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/APPENNINO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/appennino-ceramica-atlas-plan/
10,Arcadia – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/arcadia-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARCADIA-CIMSTONE.avif,https://top-blat.ro/produs/arcadia-quartz-cimstone/
11,Arcilla Red – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/arcilla-red-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARCILLA-RED-2-SILESTONE.avif,https://top-blat.ro/produs/arcilla-red-quartz-silestone/
12,Arden Blue – Quartz Silestone,Silestone,Cuarț Compozit,"3.847,899 lei/mp",culori_quartz/images/arden-blue-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARDEN-BLUE-2-SILESTONE.avif,https://top-blat.ro/produs/arden-blue-quartz-silestone/
13,Ardesia Bianco a Spacco – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.210,340 lei/mp",culori_quartz/images/ardesia-bianco-a-spacco-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARDESIA-BIANCO-A-SPACCO-2-LAMINAM-2.avif,https://top-blat.ro/produs/ardesia-bianco-a-spacco-ceramica-laminam/
